DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
BD200000000003,BDGE42FL,BD,2000.0,3.0,BD2000DHS,241385.484375,256305.375,272217.28125,203.0916748046875,177.25,239.0416717529297,219.1750030517578,64.13420867919922,55.8267707824707,73.36317443847656,70.5120620727539,0.0005070742243414472,0.0009569427959478585,0.00610606457777084,29.29569091796875,27.280908203125,28.18272705078125,27.991091918945312,9.683333396911621,9.841667175292969,10.225000381469727,10.041666984558105,5.0,2705.1,2711.1,2708.0,2755.3,3045.6,3077.2,3077.6,0.0,0.0,0.0,0.0,45.846715328467155,1747.74755859375,10.0,20.931804656982422,-9999,-9999,-9999,24.08104553222656,23.9467041015625,23.97045440673828,24.109219360351563,232.41582173123487,2730.523607748184,589.2077027845037,0.9965494446835276,7.031313843069007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.133333206176758,29.891666412353516,30.666667938232422,29.325000762939453,24.258333206176758,24.941667556762695,25.516666412353516,24.291667938232422,19.450000762939453,20.05000114440918,20.441667556762695,19.28333282470703,0.34756797632163844,19.758181762695312,20.22734680175781,18.86640167236328,20.612498474121093,19.758181762695312,20.22734680175781,3.1666667461395264,3.1750001907348633,3.258333444595337,3.1083333492279053,5149.115093,47193.04381,131356.8962,2918.5,3338.7,2243.8,3327.1,2654.5,2825.5,2832.6,0.07664928944289828,0.0,0.0,0.0,26.943750381469727,28.768749237060547,18.67875099182129,19.762500762939453,17.16950225830078,28.418498992919922,28.357500076293945,23.763999938964844,27.873998641967773,21.90625,26.29650115966797,28.074750900268555,152.57384987893462,27.18401937046005,56.19586301317402,61.17408662683823,64.94615981158088,68.97605985753677,255673.0,281687.84375,301864.5,322783.65625,802.9099576271186,884.6064618644068,947.9688256658595,1013.6629085956416,7.413332939147949,7.323333263397217,7.979166507720947,7.730833053588867
BD200000000006,BDGE42FL,BD,2000.0,6.0,BD2000DHS,209102.453125,222665.390625,236634.9375,188.65834045410156,156.89166259765625,214.0500030517578,193.2166748046875,58.65026092529297,49.02864456176758,64.86363220214844,61.50132751464844,3.531169158163344e-05,0.0002909608802218346,0.0008581060512809996,28.905654907226562,27.59454600016276,27.640604654947918,28.131591796875,10.108333587646484,10.141666412353516,10.533333778381348,10.5,5.0,2658.9166666666665,2640.8333333333335,2693.5,2792.0,3132.0,3249.5833333333335,3244.1666666666665,0.0,0.0,0.0008333332953043282,0.0,36.495098039215684,1726.5703125,10.0,48.74666976928711,-9999,-9999,-9999,23.801035563151043,23.981648763020832,23.786412556966145,24.063369750976562,311.7458538083538,710.1732954545455,763.9809582309582,5.037112374270578,3.0142285396191646,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.45833396911621,30.150001525878906,30.933334350585938,29.558334350585938,24.366666793823242,25.05000114440918,25.633333206176758,24.28333282470703,19.350000381469727,20.008333206176758,20.399999618530273,19.058334350585938,0.1964361834379793,19.93222173055013,19.99515151977539,18.69641621907552,20.368750254313152,19.93222173055013,19.99515151977539,3.2166666984558105,3.200000047683716,3.3000001907348633,3.1416666507720947,4664.467229,31414.73353,116022.8249,2607.0,2606.3,1772.8,2840.0,2230.8,2251.5,2240.1,0.03861991076270251,0.0,0.0,0.0,27.641498565673828,28.80099868774414,18.475000381469727,20.00149917602539,17.220500946044922,28.602750778198242,28.668251037597656,24.153249740600586,28.36724853515625,21.934749603271484,26.396499633789062,28.181751251220703,191.25552825552825,21.938574938574938,48.13592106280941,52.378998104888616,55.74598739170792,59.23642481435643,201848.8125,220378.5,235006.890625,249566.375,641.6197404791155,700.5208077395578,747.0210380835381,793.3020577395578,7.184166431427002,6.472499847412109,7.142499923706055,6.8125
BD200000000008,BDGE42FL,BD,2000.0,8.0,BD2000DHS,232860.0,247012.46875,262292.375,188.65834045410156,156.89166259765625,214.0500030517578,193.2166748046875,58.65026092529297,49.02864456176758,64.86363220214844,61.50132751464844,0.000845281006414679,0.0017666899705234963,0.005655074421363541,28.541982014973957,26.867538452148438,27.481892903645832,27.705655415852863,10.108333587646484,10.141666412353516,10.533333778381348,10.5,5.0,2717.5,2747.9166666666665,2831.25,2885.0833333333335,3232.0833333333335,3329.0,3292.5833333333335,0.0,0.0,0.0008333332953043282,0.0,43.386138613861384,1663.038330078125,9.0,74.49263000488281,-9999,-9999,-9999,23.754409790039062,23.63842519124349,23.729141235351562,23.8897221883138,279.60724783415844,872.546875,715.5379795792079,1.2018346503229425,3.214536156984839,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.45833396911621,30.150001525878906,30.933334350585938,29.558334350585938,24.366666793823242,25.05000114440918,25.633333206176758,24.28333282470703,19.350000381469727,20.008333206176758,20.399999618530273,19.058334350585938,0.23031046102335165,19.976388295491535,20.073787689208984,18.966833750406902,20.409319559733074,19.976388295491535,20.073787689208984,3.2166666984558105,3.200000047683716,3.3000001907348633,3.1416666507720947,20030.23286,24384.65409,117912.2421,2680.6666666666665,2458.4166666666665,1842.8333333333333,2872.9166666666665,2211.25,2197.5833333333335,2267.75,0.03571789571554354,0.0,0.0,0.0,27.49650001525879,28.84000015258789,18.520000457763672,20.071250915527344,17.246749877929688,28.604000091552734,28.6299991607666,24.25149917602539,28.258750915527344,22.016250610351562,26.39725112915039,28.147499084472656,115.0940594059406,15.561881188118813,54.365630801361384,59.189781868811885,62.78713838180693,66.67109181621286,231808.78125,251336.96875,264831.5,278571.59375,742.0017017326733,804.5100556930693,847.7049814356436,891.6857982673267,7.184166431427002,6.472499847412109,7.142499923706055,6.8125
BD200000000010,BDGE42FL,BD,2000.0,10.0,BD2000DHS,224579.90625,238879.625,253805.4375,158.40000915527344,137.5166778564453,180.10000610351562,171.1750030517578,47.40149688720703,41.566749572753906,53.49504852294922,52.53453063964844,0.0003371849137393734,0.0007375142525268507,0.0032860391502138936,27.24066670735677,27.421895345052082,27.327794392903645,27.736806233723957,10.350000381469727,10.458333969116211,10.824999809265137,10.625,5.0,2589.1666666666665,2593.3333333333335,2669.6666666666665,2777.25,3078.5833333333335,3184.5833333333335,3156.25,0.0,0.0,0.0008333332953043282,0.0,41.041666666666664,1578.329318576389,9.0,32.11227035522461,-9999,-9999,-9999,23.488840738932293,23.937571207682293,23.767161051432293,23.978673299153645,282.8464307598039,1154.5701593137255,677.7477787990196,5.241002699908088,7.553506888595282,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.125,30.766666412353516,31.50833511352539,30.116666793823242,24.941667556762695,25.516666412353516,26.075000762939453,24.783334732055664,19.774999618530273,20.308334350585938,20.683334350585938,19.491666793823242,0.34591297074860217,20.206527709960938,20.220542907714844,19.7370122273763,20.45324452718099,20.206527709960938,20.220542907714844,3.3416666984558105,3.308333396911621,3.366666793823242,3.258333444595337,5177.794019,22746.28267,95084.87422,2451.1666666666665,2159.4166666666665,1603.9166666666667,2446.75,1936.3333333333333,1836.75,1883.8333333333333,0.06882336560417623,0.0,0.0,0.0,27.821250915527344,28.899999618530273,18.506999969482422,19.894001007080078,17.221250534057617,28.718751907348633,28.79199981689453,24.298248291015625,28.381500244140625,22.07524871826172,26.49049949645996,28.264251708984375,105.21323529411765,25.776960784313726,51.03500306372549,55.539569929534316,59.07117895986519,62.761010263480394,189301.6875,205742.4375,217925.984375,230133.0625,598.8249846813726,650.8315716911765,689.3702512254902,727.9836856617648,6.464999675750732,6.174999713897705,6.62666654586792,5.9683332443237305
BD200000000012,BDGE42FL,BD,2000.0,12.0,BD2000DHS,101695.328125,107876.03125,114549.140625,167.375,149.27500915527344,197.75,190.43333435058594,50.46482467651367,45.69643020629883,58.44827651977539,58.896907806396484,0.07920285371633676,0.09770765671363243,0.11186714355762188,28.841999053955078,27.62818145751953,28.196666717529297,28.05363655090332,9.891666412353516,9.966667175292969,10.316666603088379,10.083333015441895,5,2548,2523,2497,2709,2945,2908,2901,0.0,0.0,0.0,0.0,89.35714285714286,1578.3292236328125,10,53.526180267333984,-9999,-9999,-9999,24.92054557800293,24.46242332458496,24.30242347717285,24.665151596069336,45.83976091657366,111.1298828125,89.74244035993304,0.9594638007027763,2.4148712158203125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.92500114440918,30.59166717529297,31.358333587646484,29.96666717529297,24.95833396911621,25.59166717529297,26.166667938232422,24.899999618530273,20.03333282470703,20.625,21.041667938232422,19.883333206176758,4.293751109730113,20.40818214416504,21.27666664123535,20.99909019470215,21.296667098999023,20.40818214416504,21.27666664123535,3.316666841506958,3.2666666507720947,3.383333444595337,3.2333333492279053,14880.96102,7614.685864,100982.3353,2028.0,1672.0,1380.0,1918.0,1720.0,1474.0,1607.0,0.0423798177923475,3.0,3.0,3.0,27.472000122070312,28.899999618530273,18.668001174926758,19.600000381469727,17.12700080871582,28.70400047302246,28.767000198364258,24.207000732421875,28.16699981689453,22.314998626708984,26.57699966430664,28.3489990234375,2.142857142857143,0.0,711.2127511160714,774.3224748883929,821.3831612723214,872.1931501116071,14102.189453125,15201.423828125,15924.60546875,16653.5625,1304.8148716517858,1406.522181919643,1473.4349888392858,1540.8823939732142,7.233333110809326,6.684166431427002,7.277499675750732,7.015832901000977
BD200000000014,BDGE42FL,BD,2000.0,14.0,BD2000DHS,207366.875,219969.9375,233577.0625,167.375,149.27500915527344,197.75,190.43333435058594,50.46482467651367,45.69643020629883,58.44827651977539,58.896907806396484,0.00010288881663328562,0.0001902981804540524,0.0005240193926371061,27.916730244954426,26.786468505859375,27.374898274739582,27.257649739583332,9.891666412353516,9.966667175292969,10.316666603088379,10.083333015441895,5.0,2745.0833333333335,2779.0,2839.0,2919.5833333333335,3438.8333333333335,3391.25,3386.0,0.0,0.0,0.0,0.0,42.90394088669951,1578.3292236328125,10.0,85.57579803466797,-9999,-9999,-9999,23.72686513264974,23.60767873128255,23.777659098307293,23.977783203125,305.0361953509852,927.5360221674877,802.9987684729064,2.8674977870997536,19.3984639585899,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.92500114440918,30.59166717529297,31.358333587646484,29.96666717529297,24.95833396911621,25.59166717529297,26.166667938232422,24.899999618530273,20.03333282470703,20.625,21.041667938232422,19.883333206176758,0.10975118999832247,20.18041737874349,20.697916666666668,19.53700002034505,20.428887685139973,20.18041737874349,20.697916666666668,3.316666841506958,3.2666666507720947,3.383333444595337,3.2333333492279053,31933.68438,1759.016352,114070.6388,2511.5454545454545,2325.818181818182,1800.8181818181818,2657.5454545454545,2162.818181818182,1960.3636363636363,2332.6363636363635,0.06113145856434488,0.0,0.0,0.0,27.285499572753906,28.899497985839844,18.650249481201172,20.068500518798828,17.220251083374023,28.61600112915039,28.539499282836914,24.29199981689453,28.091001510620117,22.105249404907227,26.425251007080078,28.118751525878906,115.28817733990148,14.89655172413793,49.28430830792683,53.65757431402439,56.91870236280488,60.43963414634146,231700.84375,249856.734375,261843.046875,273934.28125,737.8568349753695,795.6745689655172,833.8451354679803,872.3498306650247,7.233333110809326,6.684166431427002,7.277499675750732,7.015832901000977
BD200000000016,BDGE42FL,BD,2000.0,16.0,BD2000DHS,222864.75,236409.703125,251033.78125,158.40000915527344,137.5166778564453,180.10000610351562,171.1750030517578,47.40149688720703,41.566749572753906,53.49504852294922,52.53453063964844,0.00023288664015584022,0.0004875801456799297,0.0030899640149290456,27.536618041992188,27.3323486328125,27.493365478515624,27.353668212890625,10.350000381469727,10.458333969116211,10.824999809265137,10.625,5.0,2582.5,2565.0,2644.7,2781.8,3132.7,3202.9,3170.1,0.0,0.0,0.0008333332953043282,0.0,44.10705596107056,1578.3292738970588,9.0,52.531166076660156,-9999,-9999,-9999,23.694818115234376,23.927340698242187,23.795819091796876,23.8640380859375,279.35466088807783,1392.698905109489,746.2439933090025,3.2091064453125,15.056154719814478,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.125,30.766666412353516,31.50833511352539,30.116666793823242,24.941667556762695,25.516666412353516,26.075000762939453,24.783334732055664,19.774999618530273,20.308334350585938,20.683334350585938,19.491666793823242,0.19244925298374077,20.098272705078124,20.374407958984374,19.85301818847656,20.522332763671876,20.098272705078124,20.374407958984374,3.3416666984558105,3.308333396911621,3.366666793823242,3.258333444595337,11028.23166,15784.95784,99943.02979,2466.3,2114.5,1603.5,2417.9,1944.0,1809.9,1911.4,0.07525634301549906,0.0,0.0,0.0,27.62350082397461,28.899999618530273,18.5570011138916,19.841249465942383,17.135000228881836,28.70574951171875,28.756752014160156,24.271251678466797,28.28849983215332,22.127750396728516,26.491249084472656,28.230501174926758,82.04866180048661,18.67883211678832,52.44221560949131,57.09569827853598,60.56578105614144,64.31231583436724,202740.171875,218989.71875,229878.09375,240895.5,636.6756006690997,687.7050638686131,721.8984945255474,756.4971867396594,6.464999675750732,6.174999713897705,6.62666654586792,5.9683332443237305
BD200000000018,BDGE42FL,BD,2000.0,18.0,BD2000DHS,434481.25,460887.5625,489397.625,167.375,149.27500915527344,197.75,190.43333435058594,50.46482467651367,45.69643020629883,58.44827651977539,58.896907806396484,0.0037433317729404993,0.004090647091941228,0.005503065623934307,27.663436889648438,26.87613525390625,26.922576904296875,27.18183288574219,9.891666412353516,9.966667175292969,10.316666603088379,10.083333015441895,5.0,2838.0,2832.6,2893.6,2943.5,3337.6,3275.7,3272.0,0.0,0.0,0.0,0.0,47.02469135802469,1578.329345703125,10.0,61.930277506510414,-9999,-9999,-9999,24.050335693359376,23.903567504882812,23.709370422363282,24.079751586914064,270.9669174382716,819.4606481481482,548.5117283950617,4.023619851948302,15.711589747299383,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.92500114440918,30.59166717529297,31.358333587646484,29.96666717529297,24.95833396911621,25.59166717529297,26.166667938232422,24.899999618530273,20.03333282470703,20.625,21.041667938232422,19.883333206176758,0.3860742067529177,20.4961669921875,20.977667236328124,20.437236022949218,20.930999755859375,20.4961669921875,20.977667236328124,3.316666841506958,3.2666666507720947,3.383333444595337,3.2333333492279053,30131.25702,15679.95736,89990.78775,2475.6153846153848,2363.076923076923,1936.5384615384614,2540.0,2128.846153846154,1902.3076923076924,2207.153846153846,0.04066216268657166,0.0,0.0,0.0,27.2653325398763,28.899332682291668,18.748666127522785,19.768333435058594,17.187001546223957,28.649668375651043,28.453999837239582,24.53766632080078,27.92133331298828,22.325665791829426,26.5,28.202667236328125,79.7432098765432,16.007407407407406,102.69457583746899,111.80720766129032,118.60247363523573,125.9391090260546,323814.46875,351140.5625,370064.5625,389361.0,1052.4168981481482,1141.0975308641976,1202.4564043209878,1265.0106481481482,7.233333110809326,6.684166431427002,7.277499675750732,7.015832901000977
BD200000000020,BDGE42FL,BD,2000.0,20.0,BD2000DHS,241373.28125,256106.5,271963.53125,146.35000610351562,129.50833129882812,161.48333740234375,160.80833435058594,42.938873291015625,37.997554779052734,46.24821090698242,47.88337707519531,6.618195374567921e-06,7.090073986313282e-05,0.0004939001340132493,27.88556162516276,27.21295674641927,27.45623524983724,27.242754618326824,10.0,10.041666984558105,10.40000057220459,10.158333778381348,5.0,2840.3333333333335,2827.4166666666665,2844.5,2862.9166666666665,3120.75,3039.5,3146.0833333333335,0.0,0.0,0.0,0.0,45.7671568627451,1578.3292236328125,9.0,89.55601501464844,-9999,-9999,-9999,24.308568318684895,24.105852762858074,23.67664845784505,24.06114959716797,276.7342221882641,1615.132334963325,498.43211338630806,1.811107532902277,29.99032988233496,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.400001525878906,31.13333511352539,31.883333206176758,30.383333206176758,25.366666793823242,26.08333396911621,26.65833282470703,25.274999618530273,20.400001525878906,21.09166717529297,21.483333587646484,20.225000381469727,0.34921802088544873,19.89706293741862,20.879544576009113,20.731576283772785,20.99875005086263,19.89706293741862,20.879544576009113,3.4083333015441895,3.4083333015441895,3.491666793823242,3.3583333492279053,7909.299924,13608.82091,74770.22015,2326.9166666666665,2094.9166666666665,1774.6666666666667,2256.75,2083.5833333333335,1750.0,2116.5,0.05757454496724099,2.0,0.0,0.0,27.433000564575195,28.899999618530273,18.731000900268555,19.721750259399414,17.260250091552734,28.676250457763672,28.57699966430664,24.401750564575195,27.993999481201172,22.45075035095215,26.585250854492188,28.28424835205078,103.44743276283619,14.965770171149144,56.503411970208845,61.514790003071255,65.26946886517199,69.3106476504914,252410.875,272009.78125,284947.28125,297944.21875,794.6078086797066,856.3068459657702,897.0348410757946,937.9501833740832,6.019166469573975,6.059999942779541,6.326666355133057,5.730833053588867
BD200000000023,BDGE42FL,BD,2000.0,23.0,BD2000DHS,54087.26953125,57374.5078125,60923.640625,167.375,149.27500915527344,197.75,190.43333435058594,50.46482467651367,45.69643020629883,58.44827651977539,58.896907806396484,0.009618076894964491,0.011637215103421892,0.016554012894630432,27.639999389648438,26.828332901000977,26.860000610351562,27.213333129882812,9.891666412353516,9.966667175292969,10.316666603088379,10.083333015441895,5.0,2852.0,2833.0,2873.0,3061.0,3229.0,3121.0,3144.0,0.0,0.0,0.0,0.0,71.88235294117646,1578.3292236328125,10,76.54676055908203,-9999,-9999,-9999,23.94772720336914,23.602500915527344,23.570833206176758,24.058332443237305,207.83941291360293,930.6293083639706,430.34768497242646,0.047375780694624954,10.338682286879596,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.92500114440918,30.59166717529297,31.358333587646484,29.96666717529297,24.95833396911621,25.59166717529297,26.166667938232422,24.899999618530273,20.03333282470703,20.625,21.041667938232422,19.883333206176758,2.5855908393859863,20.281665802001953,20.90333366394043,20.255455017089844,20.376667022705078,20.281665802001953,20.90333366394043,3.316666841506958,3.2666666507720947,3.383333444595337,3.2333333492279053,30616.02122,26543.86872,79098.93239,2661.0,2457.0,2044.0,2573.0,2304.0,2037.0,2306.0,0.04232382774353027,0.0,0.0,0.0,27.14299964904785,28.899999618530273,18.799999237060547,19.788000106811523,17.26599884033203,28.600000381469727,28.371999740600586,24.26099967956543,27.784000396728516,22.371000289916992,26.5,28.204999923706055,6.117647058823529,1.4705882352941178,275.4578552246094,299.9007568359375,318.127685546875,337.8067626953125,26002.291015625,28467.14453125,30287.515625,32168.9296875,1973.856387867647,2160.9653033088234,2299.151424632353,2441.9712775735293,7.233333110809326,6.684166431427002,7.277499675750732,7.015832901000977
