DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
BD200700000001,BDGE52FL,BD,2007.0,1.0,BD2007DHS,147074.15625,156012.8125,165663.625,185.1333465576172,173.35833740234375,169.40000915527344,230.625,54.185367584228516,50.98774337768555,50.068965911865234,70.06329345703125,5.3876650429541065e-06,1.2821528399663586e-05,7.209568735091918e-05,28.626165771484374,28.010256958007812,28.11270751953125,28.348855590820314,8.566666603088379,8.133333206176758,8.441666603088379,8.324999809265137,7.0,2457.7,2508.9,2511.4,2510.7,2620.8,2588.5,2580.8,0.0,0.0,0.0,0.0,40.49271137026239,1311.1479166666666,10.0,0.0,-9999,-9999,-9999,25.268618774414062,25.253378295898436,25.107110595703126,25.15049591064453,154.6403927364865,804.8175675675676,281.49997888513514,0.004655424110050308,0.9238555737713862,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.766666412353516,30.258333206176758,30.825000762939453,29.649999618530273,25.45833396911621,26.15833282470703,26.58333396911621,25.45833396911621,21.200000762939453,22.125,22.383333206176758,21.325000762939453,0.02330053539176262,22.101516723632812,21.95213623046875,21.91107177734375,22.496499633789064,22.101516723632812,21.95213623046875,3.4166667461395264,3.4000000953674316,3.383333444595337,3.2916667461395264,5945.401086,24651.28619,5945.382435,1916.090909090909,2489.4545454545455,2422.0,2595.4545454545455,2342.0,2253.6363636363635,2952.2727272727275,0.008272247494391675,0.0,0.0,0.0,28.705677032470703,28.397397994995117,20.3142147064209,22.303979873657227,19.14080238342285,28.466339111328125,29.065637588500977,26.465845108032227,29.34693145751953,24.408281326293945,27.586788177490234,28.419292449951172,489.6978021978022,20.244505494505493,38.96912619558047,42.42706701434697,45.00563778034301,47.78964483014512,153042.140625,159066.59375,160669.875,162010.40625,527.3893914473684,548.1510690789473,553.6771792763158,558.2978618421052,8.15333366394043,7.5,7.627500057220459,7.745832920074463
BD200700000002,BDGE52FL,BD,2007.0,2.0,BD2007DHS,157050.8125,166595.84375,176901.28125,185.1333465576172,173.35833740234375,169.40000915527344,230.625,54.185367584228516,50.98774337768555,50.068965911865234,70.06329345703125,1.6689410609288666e-06,9.055151633966045e-06,0.00022975078377968227,28.620782470703126,28.092001342773436,28.14716796875,28.2895263671875,8.566666603088379,8.133333206176758,8.441666603088379,8.324999809265137,7.0,2737.7,2786.2,2787.4,2734.0,2849.1,2852.0,2857.5,0.0,0.0,0.0,0.0,39.68695652173913,1381.047607421875,10.0,0.0,-9999,-9999,-9999,25.111190795898438,25.126583862304688,24.882650756835936,24.998345947265626,201.67865953947367,1172.1511513157895,280.9797902960526,0.0024669844027701508,0.9077378376038782,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.766666412353516,30.258333206176758,30.825000762939453,29.649999618530273,25.45833396911621,26.15833282470703,26.58333396911621,25.45833396911621,21.200000762939453,22.125,22.383333206176758,21.325000762939453,0.013555414394308601,21.618136596679687,21.707167053222655,21.60159912109375,22.161166381835937,21.618136596679687,21.707167053222655,3.4166667461395264,3.4000000953674316,3.383333444595337,3.2916667461395264,9041.157726,38010.76992,8636.573328,1968.5833333333333,2453.75,2503.8333333333335,2694.1666666666665,2327.9166666666665,2327.5,2956.6666666666665,0.003480666643613345,0.0,0.0,0.0,28.65151596069336,28.34790802001953,20.287256240844727,22.261714935302734,19.144664764404297,28.407543182373047,28.951644897460938,26.38226890563965,29.28297233581543,24.377338409423828,27.535114288330078,28.3983211517334,312.252688172043,15.147849462365592,40.25098663015464,43.82267336501289,46.48606636597938,49.36165028994845,156423.0625,162583.03125,164224.28125,165596.8125,527.4162404092071,548.1876198849105,553.7231457800511,558.3527014066497,8.15333366394043,7.5,7.627500057220459,7.745832920074463
BD200700000003,BDGE52FL,BD,2007.0,3.0,BD2007DHS,171317.984375,181730.125,192971.765625,185.1333465576172,173.35833740234375,169.40000915527344,230.625,54.185367584228516,50.98774337768555,50.068965911865234,70.06329345703125,8.012107909858906e-05,0.00021697803198611327,0.00048738264765576264,28.037071228027344,27.687449137369793,27.828155517578125,27.832255045572918,8.566666603088379,8.133333206176758,8.441666603088379,8.324999809265137,7.0,2037.8333333333333,2038.5,2057.0,2028.3333333333333,2126.5,2105.3333333333335,2148.3333333333335,0.0,0.0,0.0,0.0,46.63250883392226,1309.322265625,10.0,1.1972310543060303,-9999,-9999,-9999,25.118382771809895,25.217196146647137,25.180440266927082,24.86688741048177,167.80949026639345,1029.5588114754098,166.22972592213114,0.00222096114323057,0.7873653543406519,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.766666412353516,30.258333206176758,30.825000762939453,29.649999618530273,25.45833396911621,26.15833282470703,26.58333396911621,25.45833396911621,21.200000762939453,22.125,22.383333206176758,21.325000762939453,0.059798834403171526,22.53272755940755,21.901514689127605,22.199696858723957,22.74694569905599,22.53272755940755,21.901514689127605,3.4166667461395264,3.4000000953674316,3.383333444595337,3.2916667461395264,3677.596595,20103.74466,3768.571792,1749.142857142857,2205.8571428571427,2235.0,2285.8571428571427,2125.0,1985.142857142857,2573.0,0.012050153854045462,0.0,0.0,0.0,28.826072692871094,28.418323516845703,20.29819679260254,22.37474822998047,19.17979621887207,28.510072708129883,29.125452041625977,26.48833465576172,29.44295310974121,24.39769744873047,27.616127014160156,28.4421443939209,383.91776315789474,22.092105263157894,53.97011901285047,58.75917542834891,62.330364096573206,66.18605797313084,176943.4375,183931.15625,185808.25,187381.875,735.3472437888199,764.3870341614906,772.1878881987577,778.7275329968944,8.15333366394043,7.5,7.627500057220459,7.745832920074463
BD200700000004,BDGE52FL,BD,2007.0,4.0,BD2007DHS,359075.3125,380898.625,404460.6875,185.1333465576172,173.35833740234375,169.40000915527344,230.625,54.185367584228516,50.98774337768555,50.068965911865234,70.06329345703125,0.00018266593225491353,0.0002409959785067118,0.0006811832770323142,27.488665262858074,26.961881001790363,27.199480692545574,27.515151977539062,8.566666603088379,8.133333206176758,8.441666603088379,8.324999809265137,7.0,3011.1666666666665,3030.4166666666665,3036.4166666666665,3074.0,3215.4166666666665,3157.5833333333335,3250.0,0.0,0.0,0.0,0.0,43.333333333333336,1381.0475643382354,10.0,0.5632997751235962,-9999,-9999,-9999,24.60485076904297,24.40033467610677,24.46100616455078,24.6967035929362,165.59820844240838,1735.6701570680627,181.22727830497382,1.273141752413618,2.8197798896934283,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.766666412353516,30.258333206176758,30.825000762939453,29.649999618530273,25.45833396911621,26.15833282470703,26.58333396911621,25.45833396911621,21.200000762939453,22.125,22.383333206176758,21.325000762939453,0.032836832181371824,21.72253163655599,21.878257751464844,21.721038818359375,21.838785807291668,21.72253163655599,21.878257751464844,3.4166667461395264,3.4000000953674316,3.383333444595337,3.2916667461395264,24485.86598,46702.93639,24485.83776,1850.1666666666667,2045.5833333333333,2309.75,2331.5833333333335,2039.9166666666667,1979.1666666666667,2552.0,0.0021512122502080574,0.0,0.0,0.0,28.72970199584961,28.33930015563965,20.20414924621582,22.159442901611328,19.079532623291016,28.363521575927734,28.87664031982422,26.33118438720703,29.302528381347656,24.266651153564453,27.55416488647461,28.498931884765625,123.17789757412399,17.649595687331537,92.49593671482413,100.70359610552764,106.82402245603015,113.43205284233669,254559.96875,259830.4375,257802.90625,255418.921875,858.6695631377551,876.4210778061224,869.5566007653061,861.491230867347,8.15333366394043,7.5,7.627500057220459,7.745832920074463
BD200700000005,BDGE52FL,BD,2007.0,5.0,BD2007DHS,249692.703125,264868.1875,281252.65625,161.625,150.40834045410156,157.11666870117188,200.10833740234375,47.77093505859375,44.89801025390625,46.66831588745117,61.257652282714844,0.0002255507382997282,0.0003523166012612118,0.0009003602395391768,27.727239435369317,27.440302068536933,27.278803045099433,27.297718394886363,9.074999809265137,8.699999809265137,9.074999809265137,8.883333206176758,4.0,3129.5454545454545,3098.5454545454545,3144.3636363636365,3118.4545454545455,3253.3636363636365,3242.818181818182,3220.0,0.0,0.0,0.0,0.0,32.66075949367089,1329.462646484375,11.0,54.155314127604164,-9999,-9999,-9999,25.05666836825284,24.948613947088067,25.064098011363637,24.66958340731534,120.05825666243655,1328.0141180203045,121.43252300126903,0.060404845300664756,3.1332914865561547,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.899999618530273,30.450000762939453,31.058334350585938,29.825000762939453,25.33333396911621,26.066667556762695,26.5,25.366666793823242,20.825000762939453,21.75,21.983333587646484,20.941667556762695,0.02953588551488416,22.84939297762784,22.041445645419035,22.38610007546165,22.45692859996449,22.84939297762784,22.041445645419035,3.383333444595337,3.3500001430511475,3.366666793823242,3.2666666507720947,60719.24474,79420.46412,38373.00024,1636.7272727272727,1988.2727272727273,1928.4545454545455,2091.090909090909,1774.6363636363637,1620.1818181818182,2303.909090909091,0.012647540436178295,0.0,0.0,0.0,28.836334228515625,28.750333150227863,20.06133270263672,21.792332967122395,18.796000162760418,28.666666666666668,29.06433359781901,26.46233367919922,29.259000142415363,24.281667073567707,27.883331298828125,28.723665873209637,141.74365482233503,13.885786802030458,63.01109218358396,68.60240444862156,72.77182702850877,77.2734179197995,283566.28125,286468.53125,281253.0,275666.125,908.451459390863,917.7501586294417,901.0421161167512,883.144432106599,7.759166717529297,7.386666297912598,7.598333358764648,7.724166393280029
BD200700000006,BDGE52FL,BD,2007.0,6.0,BD2007DHS,313812.03125,332884.46875,353476.375,161.625,150.40834045410156,157.11666870117188,200.10833740234375,47.77093505859375,44.89801025390625,46.66831588745117,61.257652282714844,0.00046947303290565176,0.000809702915124619,0.0018432024187935046,27.630332946777344,27.048411051432293,27.083206176757812,27.13434600830078,9.074999809265137,8.699999809265137,9.074999809265137,8.883333206176758,4.0,3328.8333333333335,3355.1666666666665,3350.9166666666665,3343.9166666666665,3461.5,3459.0,3500.1666666666665,0.0,0.0,0.0,0.0,40.03989361702128,1381.047607421875,11.0,27.976589965820313,-9999,-9999,-9999,24.516334533691406,24.54246775309245,24.48870086669922,24.389907836914062,155.12890625,3435.640743073048,221.71804156171285,1.254055536516738,4.264640707453826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.899999618530273,30.450000762939453,31.058334350585938,29.825000762939453,25.33333396911621,26.066667556762695,26.5,25.366666793823242,20.825000762939453,21.75,21.983333587646484,20.941667556762695,0.09290252532576558,21.894193013509113,21.645464579264324,21.402333577473957,22.036526997884113,21.894193013509113,21.645464579264324,3.383333444595337,3.3500001430511475,3.366666793823242,3.2666666507720947,34350.49349,79911.31998,21631.85,1707.5454545454545,2160.0,2133.090909090909,2227.818181818182,1875.1818181818182,1796.4545454545455,2404.3636363636365,0.008564248596881069,0.0,0.0,0.0,28.566799926757813,28.251449584960938,19.95471649169922,21.961207580566406,18.909133911132812,28.184234619140625,28.640890502929686,26.313568115234375,29.08243408203125,24.14595947265625,27.318426513671874,28.24360046386719,83.25188916876574,8.722921914357682,79.90158611460957,86.99169552896726,92.27875078715365,97.98702180415617,336451.1875,338630.65625,331220.40625,323416.4375,1128.4074307304786,1135.7235516372796,1110.8770465994962,1084.7097764483626,7.759166717529297,7.386666297912598,7.598333358764648,7.724166393280029
BD200700000007,BDGE52FL,BD,2007.0,7.0,BD2007DHS,256015.75,271575.5,288374.90625,161.625,150.40834045410156,157.11666870117188,200.10833740234375,47.77093505859375,44.89801025390625,46.66831588745117,61.257652282714844,8.975132965506651e-05,0.0001428850138416657,0.0009340622868293371,27.80908966064453,27.248736063639324,27.06743876139323,27.424911499023438,9.074999809265137,8.699999809265137,9.074999809265137,8.883333206176758,4.0,2642.75,2648.8333333333335,2678.3333333333335,2643.8333333333335,2840.8333333333335,2885.5833333333335,2932.25,0.0,0.0,0.0,0.0,40.031413612565444,1381.047607421875,10.0,5.935096740722656,-9999,-9999,-9999,24.70830535888672,24.644734700520832,24.336392720540363,24.658358256022137,157.868483040201,1775.0174309045226,136.8852759893216,0.014077040418308585,3.3312699974481785,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.899999618530273,30.450000762939453,31.058334350585938,29.825000762939453,25.33333396911621,26.066667556762695,26.5,25.366666793823242,20.825000762939453,21.75,21.983333587646484,20.941667556762695,0.02865740976363514,21.60534922281901,21.891807556152344,21.607518513997395,22.040733337402344,21.60534922281901,21.891807556152344,3.383333444595337,3.3500001430511475,3.366666793823242,3.2666666507720947,10828.71796,62267.23468,10828.40061,2051.0,2256.3333333333335,2567.0,2600.5833333333335,2140.0833333333335,2205.3333333333335,2864.1666666666665,0.010206085952682112,0.0,0.0,0.0,28.44586181640625,28.20163345336914,20.14048194885254,22.025680541992188,19.05970573425293,28.18095588684082,28.62567710876465,26.125823974609375,29.083459854125977,24.28296661376953,27.460060119628906,28.404850006103516,137.61263736263737,17.843406593406595,64.39919098984771,70.11368278077411,74.3749504282995,78.97571978109137,253057.6875,258104.40625,255896.65625,253334.578125,876.9262719849246,894.1033291457286,886.1451005025126,876.9641959798995,7.759166717529297,7.386666297912598,7.598333358764648,7.724166393280029
BD200700000008,BDGE52FL,BD,2007.0,8.0,BD2007DHS,324095.4375,343792.875,365059.5625,161.625,150.40834045410156,157.11666870117188,200.10833740234375,47.77093505859375,44.89801025390625,46.66831588745117,61.257652282714844,0.000540298157892887,0.0008323024841224622,0.0022473732630411782,27.317671342329547,26.728940096768465,26.654449462890625,26.96444424715909,9.074999809265137,8.699999809265137,9.074999809265137,8.883333206176758,4.0,3264.090909090909,3278.5454545454545,3294.6363636363635,3259.6363636363635,3358.3636363636365,3291.5454545454545,3333.5454545454545,0.0,0.0,0.0,0.0,37.93467336683417,1381.047607421875,11.0,55.791282653808594,-9999,-9999,-9999,24.49390480735085,24.38348388671875,24.28512295809659,24.24479814009233,144.4437265037594,1773.3336466165413,182.82520755012533,0.6175221225671601,4.231507112507832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.899999618530273,30.450000762939453,31.058334350585938,29.825000762939453,25.33333396911621,26.066667556762695,26.5,25.366666793823242,20.825000762939453,21.75,21.983333587646484,20.941667556762695,0.04793138581952683,21.91579922762784,21.525149258700285,21.67014104669744,22.038030450994317,21.91579922762784,21.525149258700285,3.383333444595337,3.3500001430511475,3.366666793823242,3.2666666507720947,42436.3436,74967.03747,30426.33759,1641.090909090909,2066.3636363636365,2029.1818181818182,2171.818181818182,1864.4545454545455,1753.0,2404.2727272727275,0.010745078399964143,0.0,0.0,0.0,28.785247802734375,28.456748962402344,19.93000030517578,21.94474983215332,18.793750762939453,28.462249755859375,28.865249633789062,26.519500732421875,29.232498168945312,24.1617488861084,27.518749237060547,28.421998977661133,112.05263157894737,9.456140350877194,81.71503561870277,88.96605399874055,94.37311083123426,100.2109375,343178.53125,345423.875,337887.46875,329947.75,1132.4607612781954,1139.8722587719299,1115.0046992481202,1088.8062343358397,7.759166717529297,7.386666297912598,7.598333358764648,7.724166393280029
BD200700000009,BDGE52FL,BD,2007.0,9.0,BD2007DHS,269794.15625,286191.34375,303894.84375,161.625,150.40834045410156,157.11666870117188,200.10833740234375,47.77093505859375,44.89801025390625,46.66831588745117,61.257652282714844,0.00076582534298016,0.0011268108134057113,0.002384294749824864,27.655474853515624,26.995166015625,27.131015014648437,27.26781005859375,9.074999809265137,8.699999809265137,9.074999809265137,8.883333206176758,4.0,3128.8,3140.6,3151.8,3136.2,3240.5,3262.8,3315.0,0.0,0.0,0.0,0.0,38.9044776119403,1381.047607421875,11.0,41.154109954833984,-9999,-9999,-9999,24.53282470703125,24.46918182373047,24.451129150390624,24.311520385742188,140.15884750639387,2528.513746803069,229.482976342711,0.016492712675635495,5.8505648029384325,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.899999618530273,30.450000762939453,31.058334350585938,29.825000762939453,25.33333396911621,26.066667556762695,26.5,25.366666793823242,20.825000762939453,21.75,21.983333587646484,20.941667556762695,0.04449963509586056,21.771243286132812,21.355226135253908,21.410177612304686,21.943197631835936,21.771243286132812,21.355226135253908,3.383333444595337,3.3500001430511475,3.366666793823242,3.2666666507720947,38952.05118,88262.69074,21479.62895,1699.9166666666667,2128.1666666666665,2085.8333333333335,2242.9166666666665,1862.25,1772.9166666666667,2396.0,0.01091813113438944,0.0,0.0,0.0,28.465896606445312,28.293601989746094,19.936309814453125,21.95408821105957,18.934831619262695,28.23314666748047,28.629852294921875,26.20262908935547,29.022489547729492,24.141021728515625,27.296010971069336,28.237791061401367,63.58312020460358,13.414322250639387,69.6267626953125,75.8051171875,80.412294921875,85.3865234375,304013.9375,306106.8125,299530.4375,292593.5625,1058.9485012755101,1066.2160395408164,1043.2876275510205,1019.1039540816327,7.759166717529297,7.386666297912598,7.598333358764648,7.724166393280029
BD200700000010,BDGE52FL,BD,2007.0,10.0,BD2007DHS,434077.03125,460458.75,488942.28125,161.625,150.40834045410156,157.11666870117188,200.10833740234375,47.77093505859375,44.89801025390625,46.66831588745117,61.257652282714844,0.012003824209711354,0.016766952101592045,0.021059520684989393,27.509884920987215,27.030453768643465,26.755126953125,26.923406427556817,9.074999809265137,8.699999809265137,9.074999809265137,8.883333206176758,4.0,3132.2727272727275,3154.818181818182,3155.0,3102.0,3203.818181818182,3220.6363636363635,3256.4545454545455,0.0,0.0,0.0,0.0,52.851063829787236,1381.047607421875,11.0,12.514044952392577,-9999,-9999,-9999,24.346840598366477,24.5904541015625,24.38968172940341,24.46542080965909,108.16883567232377,3024.1422526041665,172.3439947780679,0.17051312806176358,6.572119140625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.899999618530273,30.450000762939453,31.058334350585938,29.825000762939453,25.33333396911621,26.066667556762695,26.5,25.366666793823242,20.825000762939453,21.75,21.983333587646484,20.941667556762695,0.4500018172527677,22.024242054332387,22.00743935324929,21.18379766290838,22.150454434481535,22.024242054332387,22.00743935324929,3.383333444595337,3.3500001430511475,3.366666793823242,3.2666666507720947,24213.4645,84765.79714,12190.23278,1763.6,2226.2,2235.1,2317.6,1914.5,1841.0,2461.5,0.006401388566075908,0.0,0.0,0.0,28.467800903320313,28.18580017089844,20.070314025878908,21.933004760742186,18.964558410644532,28.087799072265625,28.545538330078124,26.2015625,29.02568359375,24.23900146484375,27.36884765625,28.237689208984374,33.59065934065934,11.06043956043956,111.30116306390977,121.17751409774436,128.54227365288222,136.4937734962406,445615.5625,448551.1875,438783.71875,428492.25,1555.6787280701753,1565.9273182957393,1531.828477443609,1495.9000626566417,7.759166717529297,7.386666297912598,7.598333358764648,7.724166393280029
