DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
BD201800000001,BDGE7SFL,BD,2018,1,BD2017DHS,5393.693359,5775.213379,5736.203613,5386.087402,5503.584473,63.73849869,58.50429535,54.69365692,79.18073273,71.96019745,27.58498764,28.23733711,27.45067215,27.88978577,27.67179489,8.675896645,7.986255646,8.234143257,8.439800262,8.40163517,7,7.904773712,0.317863941,0.296863317,0.295842707,0.311388642,0.342156678,0,0,0,0,0,36.32344818,9,0,24.90842056,25.27162552,24.66184235,24.80772781,24.86807251,67.81783295,460.9827881,183.6405487,0.004366718,0.993983448,30.19881439,30.52753258,31.07618713,30.05392075,30.08457756,25.82628822,26.50891113,26.93115044,25.80959129,25.86134338,21.52291679,22.54127693,22.84204292,21.61412048,21.68294334,0.001739083,22.23185539,22.30591393,21.87301445,21.72566795,22.06435204,3.493518591,3.484114647,3.454253435,3.360865116,3.338295698,222.6716309,203.8356781,188.925766,266.1157532,240.224411,3901.828369,3878.627197,3507.208008,4406.081055,3594.943115,19.26433372,22.51688576,26.6682663,28.84136963,29.44979095,29.02173233,28.40815353,28.3844738,28.36103249,27.59495163,24.42900276,20.39579391,28.67196465,671.324585,665.6780396,559.8303833,500.1278381,468.9765015,7786.376465,8093.03418,8174.751465,8243.111328,8264.100586,513.2011108,533.4129639,538.7989502,543.3045654,544.6879272,8.109965324,7.633284092,7.966424942,8.121872902,8.082932472
BD201800000002,BDGE7SFL,BD,2018,2,BD2017DHS,10496.71191,9095.671875,9621.128906,9524.175781,10062.63965,57.23339081,53.06462479,51.60857773,73.39442444,66.37615967,29.05087471,28.43318176,28.37737656,28.3890419,28.44978714,8.578125,8.096484184,8.39778614,8.330207825,8.282942772,7,5.686588287,0.303618759,0.300644785,0.343233317,0.351446867,0.3878645,0,0,0,0,0,40,10,0,25.27793694,25.20570564,24.8794136,24.98603058,25.0590744,205.5639801,1364.932251,288.2034302,0.001784917,0.835338235,29.80768204,30.26966095,30.83359528,29.67617226,29.71757889,25.49127579,26.18945313,26.61250114,25.484375,25.55429649,21.22955894,22.17317772,22.43580627,21.34596443,21.43463516,0.003678879,21.50499916,21.97822952,21.38144875,21.58302116,21.66836357,3.421614647,3.40091157,3.385416746,3.297916651,3.289843798,195.8306122,180.4681091,174.7165375,242.0486908,218.3671875,2717.988281,2324.997559,2318.932617,2920.301025,2639.357422,19.12235451,22.25005722,26.38085747,28.66763878,29.29327011,28.97620201,28.40920258,28.36952591,28.41884804,27.54878807,24.35024643,20.25616074,16.52929688,1242.94458,1028.529541,930.2557373,865.6246948,838.4546509,9926.568359,10318.60449,10423.89258,10512.16895,10540.0459,498.2992859,517.9789429,523.2642212,527.6955566,529.0949707,8.138385773,7.567916393,7.71326828,7.894582748,7.887669086
BD201800000003,BDGE7SFL,BD,2018,3,BD2017DHS,12447.47754,12343.19922,11409.46973,13463.83398,13897.58691,55.30288696,51.73815918,50.14590454,70.61113739,64.28393555,28.2313633,27.84306908,27.92104149,28.37592125,27.71041107,8.583593369,8.104948044,8.401041985,8.344922066,8.2967453,7,5.522460938,0.304807961,0.329982311,0.371581256,0.357216686,0.394933373,0,0,0,0,0,40.66236115,10,0.414570183,24.99255753,25.16773224,25.05576706,25.09030342,24.6730957,237.9221954,1520.194336,204.3970184,0.001899286,0.668358564,29.89609337,30.35533905,30.92057419,29.77200508,29.80546951,25.57695389,26.27187538,26.69778633,25.57304764,25.63541603,21.3125,22.25039101,22.51953125,21.42708397,21.50872421,0.00907139,21.75374985,22.4923954,22.19049263,21.8046875,21.63577843,3.439583302,3.426302195,3.405468702,3.313672066,3.302213669,190.2188873,177.2705688,170.7703247,233.9821625,212.2792969,2449.619141,2221.746826,2138.495605,2769.303711,2474.138428,19.13241386,22.28879929,26.4154377,28.74086952,29.36442757,28.98621941,28.38266373,28.35557556,28.43083763,27.60000038,24.37716293,20.2633152,15.11789799,1602.133301,1395.756714,1208.98291,1223.688843,1157.995972,16535.98438,17189.04883,17364.44141,17511.49609,17557.93359,830.0823364,862.8652344,871.6696777,879.0516357,881.3826904,8.026979446,7.435234547,7.639986992,7.766158581,7.765585899
BD201800000004,BDGE7SFL,BD,2018,4,BD2017DHS,21424.39258,24523.26953,20196.20508,20968.42969,21065.71094,53.91951752,50.69353867,48.9947052,68.71620941,62.75936127,28.19431877,27.8087883,27.96319389,28.36499977,27.76565361,8.583940506,8.107378006,8.401041985,8.349262238,8.299348831,7,6.394005775,0.309503585,0.329529166,0.341393918,0.346619636,0.379652709,0,0,0,0,0,50.86863327,10,2.303055286,24.88968086,25.00200653,25.01808929,24.90932465,24.67625618,220.6572418,1212.500366,226.2657013,0.001708804,0.624289095,29.99505234,30.44995689,31.01744843,29.86940002,29.90026093,25.67539215,26.36631966,26.79483604,25.67044258,25.72847176,21.41111183,22.34257889,22.61640549,21.52013969,21.60091209,0.038783334,21.58504105,22.19522858,22.0729866,21.45364952,21.58685875,3.456250191,3.448871613,3.423871517,3.331901073,3.319053888,186.3593445,174.8355103,167.7515717,228.9555969,208.3016968,2315.99292,2130.660156,2015.558838,2586.616943,2287.434814,19.13830757,22.31257057,26.43164635,28.8038578,29.41610718,29.07141685,28.46298218,28.41142464,28.46511841,27.60364151,24.35475731,20.26075554,11.81114769,2951.373535,2773.066895,2387.399658,1905.759766,1755.269409,16535.98438,17189.04883,17364.44141,17511.49609,17557.93359,830.0823364,862.8652344,871.6696777,879.0516357,881.3826904,7.82461834,7.283324718,7.562608242,7.675481319,7.650394917
BD201800000005,BDGE7SFL,BD,2018,5,BD2017DHS,14446.43164,15156.9248,16342.80273,15582.46777,15939.1416,51.89794922,48.93240738,48.40769958,66.76751709,60.95248795,27.62556839,27.25745583,27.55062294,27.94805336,27.8610096,8.673697472,8.253341675,8.573264122,8.445572853,8.386936188,7,5.632030964,0.336170256,0.355430901,0.376794785,0.360931247,0.384850264,0,0,0,0,0,40,10,0.109024242,24.66474152,24.68636131,24.74516296,25.01381683,24.89435005,201.6025696,1816.567017,229.9534454,0.003830364,1.188046098,29.87686539,30.37673569,30.95395088,29.76723099,29.79214478,25.51384544,26.21766472,26.64670181,25.51909828,25.57829857,21.20316887,22.12339401,22.38068581,21.32165909,21.40520859,0.03221048,21.70391655,22.11526489,21.93970299,22.07958412,21.92769051,3.423697948,3.40707469,3.393576384,3.301475763,3.292100668,177.6829071,166.7163696,164.2752228,220.4313354,200.6617279,2377.955322,2087.684082,2060.205078,2690.076416,2402.972168,19.09160805,22.18276978,26.30238724,28.70800972,29.31417274,28.89715004,28.3779068,28.33592033,28.49393082,27.61170959,24.30534172,20.20693779,9.451757431,1760.730347,1770.962524,1648.872314,1471.231689,1383.471558,15357.19727,15960.24707,16119.6084,16252.59668,16292.16602,787.2634888,818.1779175,826.3473511,833.1647949,835.1932373,7.916068077,7.352972984,7.557309151,7.672951221,7.656484127
BD201800000006,BDGE7SFL,BD,2018,6,BD2017DHS,12495.78223,12025.41211,12022.37891,11722.71973,12466.01855,52.58321381,49.88218689,47.76115799,66.70308685,61.24603653,27.15558052,27.00718689,27.27450752,27.97703362,27.44815636,8.600087166,8.098176956,8.380903244,8.372960091,8.320790291,7,6.164062023,0.29611212,0.283324301,0.301996708,0.313288897,0.333765805,0,0,0,0,0,51.73122787,10,3.202236891,24.52712631,24.55634308,24.63572884,24.79990387,24.58712387,135.0375366,1024.716064,144.3309021,0.022493061,0.912240505,30.21328163,30.64309883,31.21171951,30.08337593,30.10737991,25.88433266,26.56631851,26.99891472,25.87608528,25.92430496,21.61319542,22.54492188,22.83081627,21.71041679,21.78658867,0.01300652,21.89867401,22.10549927,21.99694824,21.62277412,21.72609138,3.493055582,3.497656345,3.463628531,3.370876789,3.353863001,183.6760864,174.4707489,165.4269104,224.8478699,205.4108124,2064.746582,1963.018433,1855.314697,2453.789795,2110.744141,19.19994164,22.4188385,26.61804008,28.93151283,29.51649284,29.16460609,28.55254555,28.46289063,28.47125435,27.58160591,24.35681725,20.3282547,17.82647133,1531.290771,1355.398438,1163.31189,1062.343628,1035.995361,13821.68652,14318.46289,14416.16797,14490.625,14482.4502,693.6230469,718.5531006,723.4562988,727.1928711,726.7825928,7.487882137,7.049175262,7.47773838,7.563476086,7.493771553
BD201800000007,BDGE7SFL,BD,2018,7,BD2017DHS,26009.54492,23347.01953,25004.91211,19919.76758,20713.93359,47.12996674,44.09543228,46.23947906,58.98503494,55.11375809,27.79148865,27.44281387,27.30682755,27.36567116,27.94052315,9.100781441,8.763671875,9.138280869,8.93372345,8.852474213,4,7.632812977,0.356984109,0.361872405,0.366271347,0.385517687,0.397628188,0,0,0,0,0,39.99066925,11,93.46160126,24.96650887,24.87576675,24.88846588,24.51562119,25.05774689,145.8113861,1553.424927,188.1172638,0.009321229,3.55308032,29.99908829,30.57487106,31.20104218,29.94088554,29.95143318,25.42708397,26.1639328,26.61171913,25.45234489,25.50794411,20.8983078,21.81119728,22.06276131,21.00716209,21.09895897,0.071106538,22.14152718,22.30872154,22.47010422,21.66556931,22.17496872,3.382161617,3.361979246,3.375911474,3.288802147,3.25638032,159.4011688,148.2479248,156.1003876,193.9901123,179.4713593,2126.435547,1808.746826,1720.94043,2403.310303,2002.926147,18.75319862,21.88525581,26.45885849,28.76055336,29.18825912,28.897089,28.5555706,28.53658676,28.486269,27.56867218,24.13521194,19.87138939,13.57421875,3014.899902,2620.492676,2359.482422,1812.905396,1736.764526,20767.45508,20904.25977,20449.06445,19969.42383,19388.55273,1048.181519,1055.086426,1032.111694,1007.903076,978.585144,7.414374828,7.146419048,7.517148495,7.571510315,7.496797085
BD201800000008,BDGE7SFL,BD,2018,8,BD2017DHS,13528.91992,13583.71191,10206.72266,12959.17188,13005.31934,48.73450851,45.66854477,47.89617538,62.40538025,57.58266449,27.50306892,26.92576408,27.05177116,27.09967995,27.35107994,9.050043106,8.670660019,9.053168297,8.864453316,8.788759232,4,5.278319836,0.332824618,0.349285781,0.342759877,0.378306597,0.36592114,0,0,0,0,0,37.17060089,11,51.24738693,24.48426247,24.51579857,24.46020889,24.24004364,24.63763809,168.2505951,5849.388184,305.4571533,0.038072906,3.896359444,29.88424492,30.43511391,31.06028748,29.8175354,29.82986069,25.33550453,26.06979179,26.51111031,25.36627579,25.41653633,20.83420181,21.76445389,22.00711823,20.95308304,21.04110336,0.012676124,21.46545792,22.10583305,21.86864662,21.38040733,21.92419434,3.36883688,3.341579914,3.363932371,3.268316031,3.243663311,164.1786041,152.6050873,161.1194916,203.9605103,186.7787781,2251.871826,1869.144653,1793.583862,2365.477051,2142.656494,18.92767715,21.95910072,26.18680954,28.4668026,29.03420448,28.62204361,28.18519211,28.26501274,28.2224865,27.27428246,24.13547707,19.94260216,9.674804688,1827.630737,1524.649414,1181.564941,1179.419067,1090.43396,18098.9043,18218.12891,17821.42578,17403.41797,16897.1875,978.2780762,984.7224121,963.2799072,940.6858521,913.3231812,7.626085281,7.377794743,7.609618187,7.713220119,7.632730007
BD201800000009,BDGE7SFL,BD,2018,9,BD2017DHS,14452.125,14094.39453,15287.2002,13412.08496,13325.97168,53.75672531,50.27442169,51.41360092,71.13594818,64.2494812,27.45719719,26.87800407,26.56519699,26.95501137,27.11433029,8.842230797,8.36396122,8.740682602,8.615769386,8.552980423,4,5.406366825,0.291727453,0.306251377,0.339189947,0.345941186,0.330557942,0,0,0,0,0,40.37175751,11,9.098795891,24.46096992,24.55079079,24.22834587,24.66542244,25.09168625,171.3620911,1590.162109,113.5871506,0.036819279,5.139076233,29.78026581,30.26821518,30.88333511,29.68038177,29.71302032,25.33605385,26.05425453,26.48674774,25.35250282,25.41132927,20.93803596,21.90425301,22.1426506,21.06461334,21.16004181,0.017751547,21.46474457,22.2235775,21.89149666,22.3758316,23.0690403,3.372366905,3.340552807,3.360546827,3.264728069,3.247801065,181.2873993,167.9443817,172.777832,232.2395325,208.6695251,2602.185059,2091.060059,2178.053467,2831.576416,2654.539551,19.05020905,21.96713066,26.09322929,28.36088562,29.00446892,28.54316711,28.07226372,28.1518383,28.35941315,27.37709999,24.27818298,20.13474274,36.2564621,1692.240234,1581.968872,1463.79541,1220.638794,1117.319092,18164.0918,18283.74609,17885.61328,17466.09961,16958.04492,954.7529297,961.0422363,940.1153564,918.0645752,891.3598633,7.833550453,7.601638794,7.693446159,7.941367149,7.830148697
BD201800000010,BDGE7SFL,BD,2018,10,BD2017DHS,12169.10449,11825.7373,13535.76758,13952.64746,13974.04883,50.96860504,47.97381973,48.21091843,65.58628082,59.92721176,27.67688179,26.58309364,27.05685234,27.60317421,27.85929489,8.800896645,8.394487381,8.732522964,8.583188057,8.517086029,7,5.834821224,0.336773098,0.390411794,0.372406185,0.379262149,0.396983147,0,0,0,0,0,40,10,1.970797777,24.92474747,24.09141541,24.17274475,24.6211338,24.98883057,162.8013153,1414.899536,190.3828278,0.141878113,2.645740986,29.85655403,30.3737278,30.96002769,29.75860786,29.77599907,25.42918205,26.14341736,26.57309151,25.44363403,25.49843788,21.05565834,21.97923851,22.22750282,21.17542076,21.25891304,0.000425628,22.17261124,21.59973717,21.28863907,21.63909721,22.11836815,3.406221151,3.382827044,3.379919052,3.285387754,3.276707172,173.6103363,162.2871399,162.9490051,215.4763641,196.3639221,2356.60083,2005.386108,1974.197998,2582.940918,2327.674316,19.08005714,22.10734558,26.24898338,28.67071342,29.23335266,28.76925087,28.27509308,28.28236961,28.47353554,27.52604675,24.25705719,20.19157982,42.67285156,1518.397461,1331.028442,1347.679199,1268.96521,1168.538086,17134.32422,17429.48438,17234.10547,17015.58984,16706.85156,861.9187622,876.7663574,866.9381104,855.9459839,840.4153442,7.925732136,7.407550335,7.593072891,7.714224339,7.68154192
